AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS
4175400,3009100,148158800,3292200,4783200,23833500,6384800,3999400,4242900,2756000,4434935,18774600,7631700,11603700,15670900,2571500,2475200,15120125,35329300,6762700,9843900,1793400,4063600,4783900,13969700,8788000,5528100,8152700,9723500
4776600,3973900,365248800,5705600,6165800,29606700,6496200,4060200,4810500,3184000,4546648,32267300,8654500,14714400,16286400,3728200,3358200,13910628,42579100,8007400,9820200,1887500,4623200,6365700,19245400,9428300,5853200,8277300,10594700
4637200,4193400,234428400,4448800,5456600,27515000,7952500,3788300,4762600,3583600,4683779,35447300,8831700,13013700,16935200,3194300,2995100,14753115,44060600,7844200,10565700,1793900,5367600,6650600,17035800,11065800,6868600,8029100,10122800
3289000,3032500,219111200,4030300,4653400,19488100,5712700,3152100,4928800,2944600,3923755,22736800,8404700,13135500,15430700,3283000,2162200,15795142,35656100,8184800,9012500,1082800,4133000,9064800,16349000,12928000,6192500,7789700,6714700
3227200,3290300,164101200,4736500,4202600,22071400,5674900,2692700,4722400,2636100,4982726,22749200,9351600,15420700,13578800,2941400,2479800,11896686,31514400,8809000,9551300,1403900,3618600,9057300,21424600,9243000,6548100,7200900,8730700
2954500,2869700,180396400,4213900,4865600,22640000,7097000,3321400,4922000,1992900,3800850,22554500,7403500,18032500,14230300,2680700,2163600,11916284,32280800,8591000,15015600,1753000,3425400,5445900,18136000,9987600,6318000,6272300,5931900
3523800,3131300,143122800,5358100,3418500,23277600,6078300,2808700,3605300,2149700,4089860,27202600,6224400,15976600,14376100,2498500,1939300,19134070,30067600,11148600,11102300,1061500,3374100,5116900,14259900,12514900,5130500,9396300,6160100
2770600,3379700,108092800,3158900,2908600,17378400,4491700,3182700,3285100,1890400,3893630,21751300,5300400,11088600,15439900,2348900,2359900,9878029,28314200,10689900,7166600,839400,3967100,5185200,15801500,5860100,5684700,5394600,4819100
4120500,3378600,129756800,2476400,4482300,16243600,6121700,3361700,3871400,3100600,5469220,19193900,7374400,11514300,21258500,1886200,1914400,15669486,28437100,5677400,7952000,1406800,4955500,5815500,11342300,8666700,5997700,7085100,6980600
5795100,2859800,114843600,2940900,3224100,17744100,4226100,2911800,5016100,1841900,3668845,22480800,5194400,11342900,26504900,3860200,2737300,13102096,31587600,6212400,7834500,1373400,5325600,5350400,10058000,7594900,4260000,7058200,9800900
